season,player_id,player_name,nationality,batting_type,bowling_type,matches,total_runs,total_balls_faced,total_wickets,total_overs,total_runs_conceded,total_mvp,mvp_std,batting_avg,true_strike_rate,bowling_avg,economy,consistency_score
2020/21,502,Rubel Hossain,Bangladesh,Right-hand bat,Right-arm medium-fast,11,9,16,11,40.2,281,272.4621699973774,24.63102785926969,0.8181818181818182,56.25,25.545454545454547,6.990049751243781,4.0599198933700125
2020/21,505,Mushfiqur Rahim,Bangladesh,Right-hand bat,Right-arm medium,10,287,256,0,0.0,0,470.0683,36.71760470228749,28.7,112.109375,inf,0.0,2.723489203906867
2020/21,506,Mohammad Mithun,Bangladesh,Right-hand bat,Right-arm offbreak,12,176,157,0,0.0,0,280.9399,25.438290161288837,14.666666666666666,112.10191082802548,inf,0.0,3.9310818205925155
2020/21,507,Mohammad Mahmudullah,Bangladesh,Right-hand bat,Right-arm offbreak,12,306,232,2,7.0,52,585.1888666666666,35.97852945657371,25.5,131.89655172413794,26.0,7.428571428571429,2.7794354441501166
2020/21,548,Farhad Reza,Bangladesh,Right-hand bat,Right-arm fast-medium,7,38,18,4,26.0,236,179.13296666666668,29.20013106702392,5.428571428571429,211.11111111111111,59.0,9.076923076923077,3.4246421624090333
2020/21,680,Joe Denly,England,Right-hand bat,Right-arm Leg-Break,12,223,207,0,3.0,23,283.8769,22.670541850382055,18.583333333333332,107.72946859903381,inf,7.666666666666667,4.411010581924611
2020/21,691,Samit Patel,England,Right-hand bat,Slow left-arm orthodox,9,188,138,7,26.4,209,467.3672,44.54359302353582,20.88888888888889,136.23188405797103,29.857142857142858,7.916666666666667,2.2449917757456674
2020/21,728,Dawid Malan,England,Left-hand bat,Right-arm Leg-Break,18,586,463,0,0.0,0,998.0609999999999,53.8828558659049,32.55555555555556,126.56587473002159,inf,0.0,1.855877874195535
2020/21,750,Thisara Perera,Sri Lanka,Left-hand bat,Right-arm medium-fast,11,264,124,5,19.1,173,767.6978523809523,99.99577821636977,24.0,212.9032258064516,34.6,9.057591623036648,1.0000422196187233
2020/21,768,Reeza Hendricks,South Africa,Right-hand bat,Right-arm offbreak,5,127,109,0,0.0,0,200.322,35.7278144204204,25.4,116.51376146788989,inf,0.0,2.798939751065336
2020/21,772,Rilee Rossouw,South Africa,Left-hand bat,Right-arm offbreak,7,105,77,0,0.0,0,182.9024,33.45756688117197,15.0,136.36363636363635,inf,0.0,2.9888604976913116
2020/21,786,Chris Jordan,England,Right-hand bat,Right-arm fast-medium,8,26,22,7,30.6,309,172.40569756097563,13.270746036466653,3.25,118.18181818181819,44.142857142857146,10.098039215686274,7.535371389461469
2020/21,796,Matthew Wade,Australia,Left-hand bat,Right-arm medium,11,349,222,0,0.0,0,675.499,59.83689051668712,31.727272727272727,157.2072072072072,inf,0.0,1.6712098362148735
